"FDP Form 4a - Annual Procurement Plan or Procurement List, by Office or Department",,,,,,,,,,,,,
,,,,,,,,,,,,,
ANNUAL PROCUREMENT PLAN,,,,,,,,,,,,,
,,,,,,,,,,,,,
REGION: IV A,,,CALENDAR YEAR:,,2026,,,,,,,,
PROVINCE: Batangas,,,,,,,,,,,,,
CITY/MUNICIPALITY:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Code (PAP),"Procurement
Project","PMO/
End-User",Is this an Early Procurement Activity? (Yes/No),Mode of Procurement,Schedule for Each Procurement Activity,,,,Source of Funds,Estimated Budget (PhP),,,"Remarks
(brief description of Project)"
,,,,,Advertisement/Posting of IB/REI,Submission/Opening of Bids,Notice of Award,Contract Signing,,Total,MOOE,CO,
5 02 03 990,Other Supplies & Materials Expenses,GSO,NO, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF,,,,
5- 02- 03- 010,Office Supplies,GSO,NO, SHOPPING/ BIDDING ,January-December,January-December,January-December,January-December,GF,,,,
,All Purpose Sticker Paper A4 10's/pack glossy,,,,,,,,," 3,400.00 "," 3,400.00 ",,
,Acetate PVC long,,,,,,,,," 9,375.00 "," 9,375.00 ",,
,Archfile 9.5 x 15 inches - 2.5 inches Black,,,,,,,,," 3,800.00 "," 3,800.00 ",,
,Ballpen (black),,,,,,,,, 900.00 , 900.00 ,,
,Ballpoint Pen Fine point Black,,,,,,,,," 6,400.00 "," 6,400.00 ",,
,Ballpoint Pen Fine point Blue,,,,,,,,, 704.00 , 704.00 ,,
,Battery AA (pack  2),,,,,,,,," 7,725.00 "," 7,725.00 ",,
,Battery AAA (pack  2),,,,,,,,," 10,050.00 "," 10,050.00 ",,
,Board paper Long 10's/pack,,,,,,,,," 5,400.00 "," 5,400.00 ",,
,Board Paper Short 10's/pack,,,,,,,,," 5,000.00 "," 5,000.00 ",,
,Bond Paper A4 70gsm ,,,,,,,,," 50,600.00 "," 50,600.00 ",,
,Bond Paper short 70gsm ,,,,,,,,," 84,600.00 "," 84,600.00 ",,
,Bond Paper long 70gsm ,,,,,,,,," 98,400.00 "," 98,400.00 ",,
,Bond Paper A4 80gsm ,,,,,,,,," 109,200.00 "," 109,200.00 ",,
,Bond Paper short 70gsm ,,,,,,,,," 70,000.00 "," 70,000.00 ",,
,"Bond Paper long , 80gsm",,,,,,,,," 120,000.00 "," 120,000.00 ",,
, Bundy Clock Ribbon Iwata,,,,,,,,," 40,800.00 "," 40,800.00 ",,
,Bundy Clock Ribbon BH65,,,,,,,,," 15,000.00 "," 15,000.00 ",,
,Bundy Clock Card 100's/bundle,,,,,,,,," 8,450.00 "," 8,450.00 ",,
,"Calculator 12 digits compact,  electronic, two way power",,,,,,,,," 16,950.00 "," 16,950.00 ",,
,"Clear Sheet Refill, 100's per pack -for ring file folder",,,,,,,,," 10,650.00 "," 10,650.00 ",,
,"Binder clip 3/4"" (12pcs/box)",,,,,,,,, 621.00 , 621.00 ,,
,"Binder clip 1/2"" (12pcs/box)",,,,,,,,, 460.00 , 460.00 ,,
,"Binder clip 1"" (8's/pack)",,,,,,,,, 594.00 , 594.00 ,,
,"Binder clip 1"" (12pcs/box)",,,,,,,,," 1,150.00 "," 1,150.00 ",,
,"Binder clip 1 5/8"" (12pcs/box)",,,,,,,,," 1,625.00 "," 1,625.00 ",,
,"Binder clip 1 1/4"" (4pcs/box)",,,,,,,,, 960.00 , 960.00 ,,
,"Binder clip 1 1/4"" (12pcs/box)",,,,,,,,," 1,800.00 "," 1,800.00 ",,
,"Binder clip 2"" (12pcs/box)",,,,,,,,," 4,028.00 "," 4,028.00 ",,
,"Binder clip 2"" (2's/pack)",,,,,,,,, 960.00 , 960.00 ,,
,Clipboard Long,,,,,,,,," 4,224.00 "," 4,224.00 ",,
,Computer Mouse USB Connection optical USB,,,,,,,,," 11,700.00 "," 11,700.00 ",,
,Computer Mouse USB - Wireless,,,,,,,,," 9,450.00 "," 9,450.00 ",,
,Correction Tape,,,,,,,,," 5,600.00 "," 5,600.00 ",,
,Correction Fluid,,,,,,,,, 500.00 , 500.00 ,,
,Cutter big HD,,,,,,,,," 1,360.00 "," 1,360.00 ",,
,Cutter small,,,,,,,,, 840.00 , 840.00 ,,
,Data File Folder,,,,,,,,," 7,680.00 "," 7,680.00 ",,
,Desk Organizer,,,,,,,,," 10,830.00 "," 10,830.00 ",,
,"Double Adhesive Tape 1""",,,,,,,,," 3,550.00 "," 3,550.00 ",,
,"Double Adhesive Tape 2""",,,,,,,,," 5,350.00 "," 5,350.00 ",,
,Envelope mailing white 500s/box,,,,,,,,," 32,000.00 "," 32,000.00 ",,
,Envelope Plastic Long,,,,,,,,," 2,850.00 "," 2,850.00 ",,
,Envelope Plastic Expanding with handle long,,,,,,,,," 9,500.00 "," 9,500.00 ",,
,"Envelope, Long, Brown",,,,,,,,," 3,300.00 "," 3,300.00 ",,
,"Envelope, Short, Brown",,,,,,,,," 1,800.00 "," 1,800.00 ",,
,"Envelope, A4",,,,,,,,," 1,000.00 "," 1,000.00 ",,
,Eraser rubber big,,,,,,,,," 1,440.00 "," 1,440.00 ",,
,Expandable Envelop brown,,,,,,,,," 2,750.00 "," 2,750.00 ",,
,Expandable Envelop green,,,,,,,,," 2,500.00 "," 2,500.00 ",,
,Fastener metal 50's,,,,,,,,," 5,800.00 "," 5,800.00 ",,
,Fastener metal long 50 pcs,,,,,,,,," 4,800.00 "," 4,800.00 ",,
,Fastener Plastic 50's,,,,,,,,," 1,600.00 "," 1,600.00 ",,
,Filing Box,,,,,,,,," 2,000.00 "," 2,000.00 ",,
,"Folder Pressboard(green,yellow, blue,red long)",,,,,,,,," 3,510.00 "," 3,510.00 ",,
,Folder tagboard A4 size docs,,,,,,,,, 480.00 , 480.00 ,,
,Folder tagboard legal size,,,,,,,,, 570.00 , 570.00 ,,
,Folder Long,,,,,,,,, 760.00 , 760.00 ,,
,Folder short white,,,,,,,,, 560.00 , 560.00 ,,
,"Folder, expanded, long",,,,,,,,," 2,960.00 "," 2,960.00 ",,
,"Folder, Expanded, A4",,,,,,,,," 2,800.00 "," 2,800.00 ",,
,"Frixion Pen, Black 0.5",,,,,,,,, 540.00 , 540.00 ,,
,"Frixion Pen, Blue 0.5",,,,,,,,, 570.00 , 570.00 ,,
,Glue 130g all purpose,,,,,,,,," 2,625.00 "," 2,625.00 ",,
,Highlighters Set 15's 9 Fluorescent/6 Pastel,,,,,,,,," 3,015.00 "," 3,015.00 ",,
,Keyboard (USB port),,,,,,,,," 17,460.00 "," 17,460.00 ",,
,"Index Tab, Self Adhesive, Assorted Colors",,,,,,,,," 4,400.00 "," 4,400.00 ",,
,Instant Glue,,,,,,,,," 3,240.00 "," 3,240.00 ",,
,"Ink GT53, black (HP Printer)",,,,,,,,," 7,210.00 "," 7,210.00 ",,
,Ink GT52 (HP Printer),,,,,,,,," 3,710.00 "," 3,710.00 ",,
,Ink GT52 cyan,,,,,,,,," 3,710.00 "," 3,710.00 ",,
,Ink GT52 magenta (HP Printer),,,,,,,,," 3,710.00 "," 3,710.00 ",,
,Ink T6731,,,,,,,,," 3,532.50 "," 3,532.50 ",,
,Ink T6732,,,,,,,,," 3,532.50 "," 3,532.50 ",,
